affiliate,business_activity,value
Argentina,Expense Reports,90.91%
Argentina,Items of Value,100.00%
Argentina,No-Charge Product,83.33%
Argentina,Professional Services,100.00%
Argentina,Sponsorships (Event),100.00%
Argentina,Sponsorships (Ind),100.00%
Argentina,Third Party Process,100.00%
Australia & New Zealand,Distributor - Transactions & Other Costs,100.00%
Australia & New Zealand,Distributor Maintenance,100.00%
Australia & New Zealand,Expense Reports,100.00%
Australia & New Zealand,Grants & Donations,100.00%
Australia & New Zealand,No-Charge Product,90.91%
Australia & New Zealand,Professional Services,90.91%
Australia & New Zealand,Sponsorships (Event),100.00%
Australia & New Zealand,Sponsorships (Ind),80.00%
Australia & New Zealand,Third Party Process,100.00%
Austria,Expense Reports,100.00%
Austria,Grants & Donations,100.00%
Austria,No-Charge Product,100.00%
Austria,Professional Services,100.00%
Austria,Sponsorships (Event),100.00%
Austria,Sponsorships (Ind),83.33%
Austria,Third Party Process,100.00%
Azerbaijan,Distributor Maintenance,100.00%
Baltics,Expense Reports,100.00%
Baltics,Grants & Donations,100.00%
Baltics,Professional Services,100.00%
Baltics,Sponsorships (Event),100.00%
Baltics,Sponsorships (Ind),100.00%
Baltics,Third Party Process,100.00%
Belarus,Distributor Maintenance,100.00%
Belarus,Expense Reports,100.00%
Belarus,Professional Services,100.00%
Belarus,Third Party Process,100.00%
Belgium,Third Party Process,100.00%
Brazil,Distributor Maintenance,75.00%
Brazil,Third Party Process,100.00%
Bulgaria,Distributor - Transactions & Other Costs,100.00%
Bulgaria,Distributor Maintenance,100.00%
Bulgaria,Third Party Process,100.00%
Canada,Expense Reports,84.62%
Canada,Grants & Donations,100.00%
Canada,Professional Services,100.00%
Canada,Sponsorships (Event),100.00%
Canada,Third Party Process,100.00%
Chile,Expense Reports,76.92%
Chile,No-Charge Product,100.00%
Chile,Professional Services,50.00%
Chile,Sponsorships (Event),100.00%
Chile,Sponsorships (Ind),100.00%
Chile,Third Party Process,100.00%
China,Expense Reports,100.00%
China,Grants & Donations,100.00%
China,Items of Value,100.00%
China,M&E,100.00%
China,Professional Services,100.00%
China,Sponsorships (Event),100.00%
China,Third Party Process,100.00%
Czech Republic,Distributor - Transactions & Other Costs,100.00%
Czech Republic,Distributor Maintenance,0.00%
Czech Republic,Third Party Process,100.00%
Egypt,Expense Reports,100.00%
Egypt,No-Charge Product,100.00%
Egypt,Professional Services,100.00%
Egypt,Sponsorships (Event),100.00%
Egypt,Sponsorships (Ind),66.67%
Egypt,Third Party Process,100.00%
Finland,Expense Reports,100.00%
Finland,Grants & Donations,100.00%
Finland,No-Charge Product,100.00%
Finland,Professional Services,100.00%
Finland,Sponsorships (Event),80.00%
Finland,Sponsorships (Ind),66.67%
Finland,Third Party Process,100.00%
France,Expense Reports,56.25%
France,Grants & Donations,100.00%
France,No-Charge Product,87.50%
France,Professional Services,70.59%
France,Sponsorships (Event),100.00%
France,Sponsorships (Ind),42.86%
France,Third Party Process,100.00%
Georgia,Distributor Maintenance,100.00%
Germany,Third Party Process,100.00%
Greece,Distributor - Transactions & Other Costs,100.00%
Greece,Distributor Maintenance,100.00%
Greece,Distributor Onboarding,100.00%
Greece,Expense Reports,100.00%
Greece,Grants & Donations,100.00%
Greece,Items of Value,100.00%
Greece,Professional Services,100.00%
Greece,Sponsorships (Event),100.00%
Greece,Sponsorships (Ind),100.00%
Greece,Third Party Process,100.00%
Gulf South,Third Party Process,100.00%
Hong Kong,Expense Reports,100.00%
Hong Kong,No-Charge Product,100.00%
Hong Kong,Professional Services,100.00%
Hong Kong,Sponsorships (Event),100.00%
Hong Kong,Sponsorships (Ind),100.00%
Hong Kong,Third Party Process,0.00%
Hungary,Third Party Process,100.00%
India,Distributor - Transactions & Other Costs,100.00%
India,Expense Reports,100.00%
India,No-Charge Product,100.00%
India,Professional Services,100.00%
India,Sponsorships (Event),100.00%
India,Sponsorships (Ind),100.00%
India,Third Party Process,100.00%
Indonesia,Distributor - Transactions & Other Costs,100.00%
Ireland,Third Party Process,100.00%
Israel,Distributor - Transactions & Other Costs,100.00%
Israel,Distributor Maintenance,100.00%
Israel,Grants & Donations,75.00%
Israel,Professional Services,100.00%
Israel,Sponsorships (Event),100.00%
Israel,Sponsorships (Ind),75.00%
Israel,Third Party Process,100.00%
Italy,Grants & Donations,100.00%
Italy,Items of Value,100.00%
Italy,No-Charge Product,100.00%
Italy,Third Party Process,100.00%
Japan,Third Party Process,100.00%
Kazakhstan,Distributor Maintenance,100.00%
Kazakhstan,Expense Reports,100.00%
Kazakhstan,Professional Services,50.00%
Kazakhstan,Sponsorships (Event),66.67%
Kazakhstan,Sponsorships (Ind),100.00%
Kazakhstan,Third Party Process,0.00%
Levant,Expense Reports,100.00%
Levant,No-Charge Product,100.00%
Levant,Professional Services,100.00%
Levant,Sponsorships (Event),100.00%
Levant,Sponsorships (Ind),100.00%
Levant,Third Party Process,100.00%
Malaysia,Distributor - Transactions & Other Costs,100.00%
Malaysia,Expense Reports,83.33%
Malaysia,No-Charge Product,100.00%
Malaysia,Professional Services,80.00%
Malaysia,Sponsorships (Event),80.00%
Malaysia,Sponsorships (Ind),100.00%
Malaysia,Third Party Process,100.00%
Mexico,Expense Reports,97.14%
Mexico,Items of Value,100.00%
Mexico,No-Charge Product,100.00%
Mexico,Professional Services,100.00%
Mexico,Sponsorships (Event),88.00%
Mexico,Sponsorships (Ind),100.00%
Mexico,Third Party Process,100.00%
Netherlands,Third Party Process,100.00%
NWA,Third Party Process,100.00%
Philippines,Distributor - Transactions & Other Costs,100.00%
Poland,Third Party Process,100.00%
Portugal,Expense Reports,100.00%
Portugal,Grants & Donations,100.00%
Portugal,No-Charge Product,100.00%
Portugal,Professional Services,87.50%
Portugal,Sponsorships (Event),85.71%
Portugal,Sponsorships (Ind),100.00%
Portugal,Third Party Process,100.00%
Puerto Rico,Co-Pay Program,100.00%
Region North,Third Party Process,100.00%
Romania,Third Party Process,100.00%
Russia,Expense Reports,100.00%
Russia,Grants & Donations,0.00%
Russia,No-Charge Product,100.00%
Russia,Professional Services,75.00%
Russia,Sponsorships (Event),80.00%
Russia,Third Party Process,100.00%
Saudi Arabia,Third Party Process,100.00%
Singapore,Expense Reports,100.00%
Singapore,No-Charge Product,100.00%
Singapore,Professional Services,100.00%
Singapore,Sponsorships (Event),100.00%
Singapore,Sponsorships (Ind),100.00%
Singapore,Third Party Process,100.00%
Slovakia,Distributor - Transactions & Other Costs,100.00%
Slovakia,Distributor Maintenance,0.00%
Slovakia,Distributor Onboarding,100.00%
Slovakia,Third Party Process,100.00%
South Africa,Distributor - Transactions & Other Costs,100.00%
South Africa,Distributor Maintenance,0.00%
South Africa,Expense Reports,100.00%
South Africa,Grants & Donations,100.00%
South Africa,Items of Value,100.00%
South Africa,Professional Services,100.00%
South Africa,Sponsorships (Event),75.00%
South Africa,Sponsorships (Ind),100.00%
South Africa,Third Party Process,100.00%
South Korea,Expense Reports,100.00%
South Korea,Grants & Donations,100.00%
South Korea,No-Charge Product,100.00%
South Korea,Professional Services,100.00%
South Korea,Sponsorships (Event),100.00%
South Korea,Sponsorships (Ind),100.00%
South Korea,Third Party Process,100.00%
Spain,Expense Reports,88.89%
Spain,Grants & Donations,100.00%
Spain,No-Charge Product,100.00%
Spain,Professional Services,83.33%
Spain,Sponsorships (Event),100.00%
Spain,Sponsorships (Ind),100.00%
Spain,Third Party Process,80.00%
Switzerland,Expense Reports,100.00%
Switzerland,Items of Value,100.00%
Switzerland,No-Charge Product,100.00%
Switzerland,Professional Services,100.00%
Switzerland,Sponsorships (Ind),100.00%
Switzerland,Third Party Process,100.00%
Taiwan,Third Party Process,100.00%
Thailand,Distributor - Transactions & Other Costs,100.00%
Thailand,Expense Reports,100.00%
Thailand,No-Charge Product,86.36%
Thailand,Professional Services,100.00%
Thailand,Sponsorships (Event),100.00%
Thailand,Sponsorships (Ind),100.00%
Turkey,Third Party Process,100.00%
Ukraine,Third Party Process,100.00%
United Kingdom,Expense Reports,80.00%
United Kingdom,Professional Services,86.36%
United Kingdom,Sponsorships (Event),93.33%
United Kingdom,Third Party Process,42.86%
United States,Advisory Board,100.00%
United States,Business Associate Agreement,0.00%
United States,Call Center,98.49%
United States,Charitable Product Donation,100.00%
United States,Co-Pay Program,100.00%
United States,Corporate Donation,100.00%
United States,Distributor Onboarding,100.00%
United States,HEOR,75.00%
United States,HIPAA,100.00%
United States,IT Security,57.14%
United States,Jabber,100.00%
United States,Live Education & Resource Support,100.00%
United States,Medical Information,100.00%
United States,Membership,100.00%
United States,Patient Assistance Program,100.00%
United States,Regulatory,100.00%
United States,Reimbursement Materials,100.00%
United States,Speaker Program,88.89%
United States,Sponsorship,89.29%
United States,Sponsorship or Exhibit,100.00%
United States,Transparency,100.00%
Uruguay & Paraguay,Distributor - Transactions & Other Costs,100.00%
Uruguay & Paraguay,Distributor Maintenance,100.00%
Uruguay & Paraguay,Expense Reports,100.00%
Uruguay & Paraguay,Items of Value,100.00%
Uruguay & Paraguay,No-Charge Product,100.00%
Uruguay & Paraguay,Professional Services,100.00%
Uruguay & Paraguay,Sponsorships (Event),0.00%
Uruguay & Paraguay,Sponsorships (Ind),100.00%
Uruguay & Paraguay,Third Party Process,100.00%
Vietnam,Distributor - Transactions & Other Costs,100.00%
